route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
52,10_8,1582775124-10,GRAMMONT,52,0,,
53,10_4,1582819733-10,SABINES,53,1,,
53,10_4,1582819735-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819738-10,SABINES,53,1,,
53,10_4,1582819740-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819743-10,SABINES,53,1,,
53,10_4,1582819742-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819747-10,SABINES,53,1,,
53,10_4,1582819746-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819752-10,SABINES,53,1,,
53,10_4,1582819751-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819757-10,SABINES,53,1,,
53,10_4,1582819754-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819756-10,SABINES,53,1,,
53,10_4,1582819761-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819762-10,SABINES,53,1,,
53,10_4,1582819767-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819766-10,SABINES,53,1,,
53,10_4,1582819763-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819770-10,SABINES,53,1,,
53,10_4,1582819769-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819768-10,SABINES,53,1,,
53,10_4,1582819774-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819775-10,SABINES,53,1,,
53,10_4,1582819779-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819780-10,SABINES,53,1,,
53,10_4,1582819781-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819784-10,SABINES,53,1,,
53,10_4,1582819785-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819734-10,SABINES,53,1,,
53,10_4,1582819745-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819755-10,SABINES,53,1,,
53,10_4,1582819764-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819773-10,SABINES,53,1,,
53,10_4,1582819782-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819744-10,SABINES,53,1,,
53,10_4,1582819771-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819786-10,SABINES,53,1,,
53,10_4,1582819759-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819777-10,SABINES,53,1,,
53,10_4,1582819750-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819739-10,SABINES,53,1,,
53,10_4,1582819783-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819778-10,SABINES,53,1,,
53,10_4,1582819776-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819772-10,SABINES,53,1,,
53,10_4,1582819765-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819760-10,SABINES,53,1,,
53,10_4,1582819758-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819753-10,SABINES,53,1,,
53,10_4,1582819749-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819748-10,SABINES,53,1,,
53,10_4,1582819741-10,SAINT-CLEOPHAS,53,0,,
53,10_4,1582819737-10,SABINES,53,1,,
53,10_4,1582819736-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786303-10,SABINES,53,1,,
53,10_7,1582786304-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786306-10,SABINES,53,1,,
53,10_7,1582786310-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786309-10,SABINES,53,1,,
53,10_7,1582786314-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786313-10,SABINES,53,1,,
53,10_7,1582786318-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786317-10,SABINES,53,1,,
53,10_7,1582786319-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786322-10,SABINES,53,1,,
53,10_7,1582786323-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786326-10,SABINES,53,1,,
53,10_7,1582786327-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786331-10,SABINES,53,1,,
53,10_7,1582786333-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786332-10,SABINES,53,1,,
53,10_7,1582786337-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786336-10,SABINES,53,1,,
53,10_7,1582786344-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786341-10,SABINES,53,1,,
53,10_7,1582786345-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786346-10,SABINES,53,1,,
53,10_7,1582786349-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786350-10,SABINES,53,1,,
53,10_7,1582786353-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786354-10,SABINES,53,1,,
53,10_7,1582786334-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786355-10,SABINES,53,1,,
53,10_7,1582786324-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786307-10,SABINES,53,1,,
53,10_7,1582786330-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786311-10,SABINES,53,1,,
53,10_7,1582786347-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786315-10,SABINES,53,1,,
53,10_7,1582786348-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786320-10,SABINES,53,1,,
53,10_7,1582786339-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786356-10,SABINES,53,1,,
53,10_7,1582786340-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786325-10,SABINES,53,1,,
53,10_7,1582786352-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786351-10,SABINES,53,1,,
53,10_7,1582786343-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786342-10,SABINES,53,1,,
53,10_7,1582786338-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786335-10,SABINES,53,1,,
53,10_7,1582786329-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786328-10,SABINES,53,1,,
53,10_7,1582786321-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786316-10,SABINES,53,1,,
53,10_7,1582786312-10,SAINT-CLEOPHAS,53,0,,
53,10_7,1582786308-10,SABINES,53,1,,
53,10_7,1582786305-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774941-10,SABINES,53,1,,
53,10_8,1582774942-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774954-10,SABINES,53,1,,
53,10_8,1582774943-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774955-10,SABINES,53,1,,
53,10_8,1582774944-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774956-10,SABINES,53,1,,
53,10_8,1582774945-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774957-10,SABINES,53,1,,
53,10_8,1582774946-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774958-10,SABINES,53,1,,
53,10_8,1582774947-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774959-10,SABINES,53,1,,
53,10_8,1582774948-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774960-10,SABINES,53,1,,
53,10_8,1582774949-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774961-10,SABINES,53,1,,
53,10_8,1582774950-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774962-10,SABINES,53,1,,
53,10_8,1582774951-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774963-10,SABINES,53,1,,
53,10_8,1582774952-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774964-10,SABINES,53,1,,
53,10_8,1582774972-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774966-10,SABINES,53,1,,
53,10_8,1582774973-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774967-10,SABINES,53,1,,
53,10_8,1582774974-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774968-10,SABINES,53,1,,
53,10_8,1582774975-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774969-10,SABINES,53,1,,
53,10_8,1582774976-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774970-10,SABINES,53,1,,
53,10_8,1582774977-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774971-10,SABINES,53,1,,
53,10_8,1582774953-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774965-10,SABINES,53,1,,
53,10_8,1582774978-10,SAINT-CLEOPHAS,53,0,,
53,10_8,1582774979-10,SABINES,53,1,,
53,10_8,1582774940-10,SAINT-CLEOPHAS,53,0,,
6,10_4,1582796035-10,PALADILHE,6,1,,
6,10_4,1582796036-10,PALADILHE,6,1,,
6,10_4,1582795963-10,EUROMEDECINE,6,0,,
6,10_4,1582796037-10,PALADILHE,6,1,,
6,10_4,1582795964-10,EUROMEDECINE,6,0,,
6,10_4,1582796038-10,PALADILHE,6,1,,
6,10_4,1582795965-10,EUROMEDECINE,6,0,,
6,10_4,1582796039-10,PALADILHE,6,1,,
6,10_4,1582795966-10,EUROMEDECINE,6,0,,
6,10_4,1582796040-10,PALADILHE,6,1,,
6,10_4,1582795967-10,EUROMEDECINE,6,0,,
6,10_4,1582796041-10,PALADILHE,6,1,,
6,10_4,1582795968-10,EUROMEDECINE,6,0,,
6,10_4,1582796042-10,PALADILHE,6,1,,
6,10_4,1582795969-10,EUROMEDECINE,6,0,,
6,10_4,1582796043-10,PALADILHE,6,1,,
6,10_4,1582795970-10,EUROMEDECINE,6,0,,
6,10_4,1582796044-10,PALADILHE,6,1,,
6,10_4,1582795971-10,EUROMEDECINE,6,0,,
6,10_4,1582796045-10,PALADILHE,6,1,,
6,10_4,1582795972-10,EUROMEDECINE,6,0,,
6,10_4,1582796046-10,PALADILHE,6,1,,
6,10_4,1582795973-10,EUROMEDECINE,6,0,,
6,10_4,1582796047-10,PALADILHE,6,1,,
6,10_4,1582795974-10,EUROMEDECINE,6,0,,
6,10_4,1582796048-10,PALADILHE,6,1,,
6,10_4,1582795975-10,EUROMEDECINE,6,0,,
6,10_4,1582796049-10,PALADILHE,6,1,,
6,10_4,1582795976-10,EUROMEDECINE,6,0,,
6,10_4,1582796050-10,PALADILHE,6,1,,
6,10_4,1582795977-10,EUROMEDECINE,6,0,,
6,10_4,1582796051-10,PALADILHE,6,1,,
6,10_4,1582795978-10,EUROMEDECINE,6,0,,
6,10_4,1582796052-10,PALADILHE,6,1,,
6,10_4,1582795979-10,EUROMEDECINE,6,0,,
6,10_4,1582796053-10,PALADILHE,6,1,,
6,10_4,1582795980-10,EUROMEDECINE,6,0,,
6,10_4,1582796054-10,PALADILHE,6,1,,
6,10_4,1582795981-10,EUROMEDECINE,6,0,,
6,10_4,1582796055-10,PALADILHE,6,1,,
6,10_4,1582795982-10,EUROMEDECINE,6,0,,
6,10_4,1582796056-10,PALADILHE,6,1,,
6,10_4,1582795983-10,EUROMEDECINE,6,0,,
6,10_4,1582796057-10,PALADILHE,6,1,,
6,10_4,1582795984-10,EUROMEDECINE,6,0,,
6,10_4,1582796058-10,PALADILHE,6,1,,
6,10_4,1582795985-10,EUROMEDECINE,6,0,,
6,10_4,1582796059-10,PALADILHE,6,1,,
6,10_4,1582795986-10,EUROMEDECINE,6,0,,
6,10_4,1582796060-10,PALADILHE,6,1,,
6,10_4,1582795987-10,EUROMEDECINE,6,0,,
6,10_4,1582796061-10,PALADILHE,6,1,,
6,10_4,1582795988-10,EUROMEDECINE,6,0,,
6,10_4,1582796062-10,PALADILHE,6,1,,
6,10_4,1582795989-10,EUROMEDECINE,6,0,,
6,10_4,1582796063-10,PALADILHE,6,1,,
6,10_4,1582795990-10,EUROMEDECINE,6,0,,
6,10_4,1582796064-10,PALADILHE,6,1,,
6,10_4,1582795991-10,EUROMEDECINE,6,0,,
6,10_4,1582796065-10,PALADILHE,6,1,,
6,10_4,1582795992-10,EUROMEDECINE,6,0,,
6,10_4,1582796066-10,PALADILHE,6,1,,
6,10_4,1582795993-10,EUROMEDECINE,6,0,,
6,10_4,1582796067-10,PALADILHE,6,1,,
6,10_4,1582795994-10,EUROMEDECINE,6,0,,
6,10_4,1582796068-10,PALADILHE,6,1,,
6,10_4,1582795995-10,EUROMEDECINE,6,0,,
6,10_4,1582796069-10,PALADILHE,6,1,,
6,10_4,1582795996-10,EUROMEDECINE,6,0,,
6,10_4,1582796070-10,PALADILHE,6,1,,
6,10_4,1582795997-10,EUROMEDECINE,6,0,,
6,10_4,1582796071-10,PALADILHE,6,1,,
6,10_4,1582795998-10,EUROMEDECINE,6,0,,
6,10_4,1582796072-10,PALADILHE,6,1,,
6,10_4,1582795999-10,EUROMEDECINE,6,0,,
6,10_4,1582796073-10,PALADILHE,6,1,,
6,10_4,1582796000-10,EUROMEDECINE,6,0,,
6,10_4,1582796074-10,PALADILHE,6,1,,
6,10_4,1582796001-10,EUROMEDECINE,6,0,,
6,10_4,1582796075-10,PALADILHE,6,1,,
6,10_4,1582796002-10,EUROMEDECINE,6,0,,
6,10_4,1582796076-10,PALADILHE,6,1,,
6,10_4,1582796003-10,EUROMEDECINE,6,0,,
6,10_4,1582796077-10,PALADILHE,6,1,,
6,10_4,1582796004-10,EUROMEDECINE,6,0,,
6,10_4,1582796078-10,PALADILHE,6,1,,
6,10_4,1582796005-10,EUROMEDECINE,6,0,,
6,10_4,1582796079-10,PALADILHE,6,1,,
6,10_4,1582796006-10,EUROMEDECINE,6,0,,
6,10_4,1582796080-10,PALADILHE,6,1,,
6,10_4,1582796007-10,EUROMEDECINE,6,0,,
6,10_4,1582796081-10,PALADILHE,6,1,,
6,10_4,1582796008-10,EUROMEDECINE,6,0,,
6,10_4,1582796082-10,PALADILHE,6,1,,
6,10_4,1582796009-10,EUROMEDECINE,6,0,,
6,10_4,1582796083-10,PALADILHE,6,1,,
6,10_4,1582796010-10,EUROMEDECINE,6,0,,
6,10_4,1582796084-10,PALADILHE,6,1,,
6,10_4,1582796011-10,EUROMEDECINE,6,0,,
6,10_4,1582796085-10,PALADILHE,6,1,,
6,10_4,1582796012-10,EUROMEDECINE,6,0,,
6,10_4,1582796086-10,PALADILHE,6,1,,
6,10_4,1582796013-10,EUROMEDECINE,6,0,,
6,10_4,1582796087-10,PALADILHE,6,1,,
