stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
2485,45208,Chamberte - Les Roses,"Chamberte - Les Roses",43.602596,3.85459,,,1
2486,45209,Cité Créative - Parc Montcalm,"Cité Créative - Parc Montcalm",43.601639,3.862,,,1
2487,45210,Place du 8 mai 1945,"Place du 8 mai 1945",43.60125,3.868063,,,1
2488,45211,Parc Clémenceau,"Parc Clémenceau",43.603119,3.871737,,,1
2489,45212,Gambetta - Saint-Denis,"Gambetta - Saint-Denis",43.605003,3.87446,,,1
2490,45213,Saint-Eloi - Docteur Pezet,"Saint-Eloi - Docteur Pezet",43.626987,3.866612,,,1
2491,45214,Université Paul Valéry,"Université Paul Valéry",43.629974,3.869638,,,1
2492,45215,Pôle Chimie Balard,"Pôle Chimie Balard",43.633991,3.867963,,,1
2493,45216,CNRS - Zoo de Lunaret,"CNRS - Zoo de Lunaret",43.638218,3.865885,,,1
2494,45217,Plan des 4 Seigneurs,"Plan des 4 Seigneurs",43.644192,3.861131,,,1
2495,45218,Agropolis,"Agropolis",43.645954,3.868593,,,1
2496,45219,Montferrier-sur-Lez,"Montferrier-sur-Lez",43.651367,3.867315,,,1
2497,45220,Clapiers,"Clapiers",43.653683,3.872788,,,1
2498,45300,Grès de Montpellier Tiroir,"Grès de Montpellier Tiroir",43.592552,3.821919,,,1
2501,34106,Alouettes,"alouette !",43.614002,3.811279,,,1
2502,34206,Alouettes,"Alouette !",43.613903,3.811351,,,1
2515,15262,Odysseum,"odyssé homme",43.605061,3.916721,,,1
2517,11237,Chamberte - Les Roses,"chamberte les roses",43.603298,3.856489,,,1
2519,93171,Pérols Etang de l'Or,"pérol, étang de l'or",43.558025,3.963432,,,1
2522,93272,Cougourlude,"Cougourlude",43.571419,3.914543,,,1
